initialOwner,claimant,totalAmount,tgePercentage,cliffDuration,vestingDuration
0xEb1D1BE2FE7291E1Ae0404FbF0405618E20eBE37,0x8CD1FCFF16B3b15c71d3C58124492b16604Dbf20,"59,210.53",0,0,20
0xEb1D1BE2FE7291E1Ae0404FbF0405618E20eBE37,0xb73cF1De70499f0b30567fEa7AF40aC09D839be8,"47,368.42",0,0,20
0xEb1D1BE2FE7291E1Ae0404FbF0405618E20eBE37,0xEF3493D26C7be6196193EfCcA351fC6771d416d2,"23,684.21",0,0,20
0xEb1D1BE2FE7291E1Ae0404FbF0405618E20eBE37,0xe13D0E9c4676c7960E43FAae9DB0572095Ea5591,"47,368.42",0,0,20
0xEb1D1BE2FE7291E1Ae0404FbF0405618E20eBE37,0x5785C34dF5d07b42C7F4e529fDdEC9cf39a2a97c,"23,684.21",0,0,20
0xEb1D1BE2FE7291E1Ae0404FbF0405618E20eBE37,0x420d71e19D5B35b42AE8D63E81afb001a24AA73f,"47,368.42",0,0,20
0xEb1D1BE2FE7291E1Ae0404FbF0405618E20eBE37,0x1CC0B8435548B10459de403df762e38b9c8E789B,"23,684.21",0,0,20
0xEb1D1BE2FE7291E1Ae0404FbF0405618E20eBE37,0xc5CCAd35C72b513a02d9b19F4565D5A03C248b23,"11,842.11",0,0,20
0xEb1D1BE2FE7291E1Ae0404FbF0405618E20eBE37,0xEB0A9b2275D77e4e8E69eD99045714062c4448F2,"11,842.11",0,0,20
0xEb1D1BE2FE7291E1Ae0404FbF0405618E20eBE37,0xBCa29E8DC1c0959C16AFf68e8Dbc190185384375,"23,684.21",0,0,20
0xEb1D1BE2FE7291E1Ae0404FbF0405618E20eBE37,0x33C456904956A273E4A9789079202d48a3Bff319,"23,684.21",0,0,20
0xEb1D1BE2FE7291E1Ae0404FbF0405618E20eBE37,0xBdEF1c3dE04280b3f5b18116f571f9EfA434C487,"35,526.32",0,0,20
0xEb1D1BE2FE7291E1Ae0404FbF0405618E20eBE37,0x84E772ab6f4cE150D3E3E0A48F7728aB00CE6Ae2,"35,526.32",0,0,20
0xEb1D1BE2FE7291E1Ae0404FbF0405618E20eBE37,0x26157a63Bc4C6Bd48F84f9dD210FF038bb1794aB,"47,368.42",0,0,20
0xEb1D1BE2FE7291E1Ae0404FbF0405618E20eBE37,0x68A8dB214f1cb757Bc98BDBd841EE7aa55829be8,"47,368.42",0,0,20
0xEb1D1BE2FE7291E1Ae0404FbF0405618E20eBE37,0xbC0596d5728Efb0940b4f40F4e1CfB21760724e9,"35,526.32",0,0,20
0xEb1D1BE2FE7291E1Ae0404FbF0405618E20eBE37,0x1e87cB772516984B871C7103e4559C6593c92c1A,"47,368.42",0,0,20
0xEb1D1BE2FE7291E1Ae0404FbF0405618E20eBE37,0x2747cAb9dD336B3E9768465CD469Bdb8C3868d5d,"23,684.21",0,0,20
0xEb1D1BE2FE7291E1Ae0404FbF0405618E20eBE37,0x2A1F9aCfbAeD06C3cBCD71CD07f57f9924579ad6,"11,842.11",0,0,20
0xEb1D1BE2FE7291E1Ae0404FbF0405618E20eBE37,0x637D2E60DA55F8fAAA0c00Ed5AeA00a05383D2ca,"23,684.21",0,0,20
0xEb1D1BE2FE7291E1Ae0404FbF0405618E20eBE37,0xfCA0c909c5Bf8fcFF8354F4360FDD45Ae2691b90,"11,842.11",0,0,20
0xEb1D1BE2FE7291E1Ae0404FbF0405618E20eBE37,0xC37424d17B2BC9611F44d06bb428dBc286362af0,"23,684.21",0,0,20
0xEb1D1BE2FE7291E1Ae0404FbF0405618E20eBE37,0xAd4887e50Dd26079793eaF133DF48324254B51a7,"11,842.11",0,0,20
0xEb1D1BE2FE7291E1Ae0404FbF0405618E20eBE37,0x2c5976418660edC37448176BC931eB108Eeb951B,"11,842.11",0,0,20
0xEb1D1BE2FE7291E1Ae0404FbF0405618E20eBE37,0x44617Ac4541C0A9323269B4eEB61a6e56DDf92ed,"23,684.21",0,0,20
0xEb1D1BE2FE7291E1Ae0404FbF0405618E20eBE37,0x1f26291D81C472A2Ccfa474733E56FA5e2B13cB0,"23,684.21",0,0,20
0xEb1D1BE2FE7291E1Ae0404FbF0405618E20eBE37,0x25687b666D6A6e1b0e546F371C69F713FeFe363D,"23,684.21",0,0,20
0xEb1D1BE2FE7291E1Ae0404FbF0405618E20eBE37,0xDBB44026de5d4437E0a6Ca536A8840D53D2E6Bc2,"11,842.11",0,0,20
0xEb1D1BE2FE7291E1Ae0404FbF0405618E20eBE37,0x03c61dF59e2FBa81B2a45eaa769df05436E03848,"23,684.21",0,0,20
